match_id,date,venue,winner,loser,margin,margin_type,winner_rating,loser_rating,winner_expected,rating_change,winner_xi_size,loser_xi_size
951363,2016-03-27,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,Australia,6,wickets,1506.815091001106,1500.2594717702234,0.5094331749965165,23.547207600167205,11,11
951367,2016-03-28,Feroz Shah Kotla,South Africa,Sri Lanka,8,wickets,1498.082018965469,1499.2457410725751,0.4983252755277149,24.080386774669684,10,11
951369,2016-03-30,Feroz Shah Kotla,England,New Zealand,7,wickets,1499.8149458661674,1506.3126451897385,0.49065014904299914,24.448792845936044,11,11
951371,2016-03-31,Wankhede Stadium,West Indies,India,7,wickets,1506.8941428778999,1507.6212965113502,0.49895354332999353,24.050229920160312,9,9
951373,2016-04-03,Eden Gardens,West Indies,England,4,wickets,1508.7819813176482,1502.037563397616,0.5097047786299913,18.827336500608332,10,11
1273713,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Bangladesh,6,runs,1499.9266822022205,1495.12400965264,0.5069111611955571,15.778842841742172,11,11
1273712,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Papua New Guinea,10,wickets,1499.5719421134352,1500.0,0.49938397549385816,24.029569176294807,7,11
1273714,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Ireland,Netherlands,7,wickets,1499.5692523389318,1499.3494116807442,0.5003163760967625,23.9848139473554,9,11
1273715,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,Namibia,7,wickets,1499.89709553327,1500.0431645590638,0.4997897897865469,24.01009009024575,10,11
1273716,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Papua New Guinea,17,runs,1501.230718800712,1498.0140851920414,0.5046289756169812,19.022247336307924,11,11
1273717,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Oman,26,runs,1494.1611162066731,1500.9872485298235,0.49017766973196303,19.577177482292615,11,11
1273718,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Namibia,Netherlands,6,wickets,1497.8700212205504,1497.6430528937155,0.5003266336322553,23.98432158565175,9,10
1273719,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,Ireland,70,runs,1501.5317307677199,1501.1007265534267,0.5006202646061026,23.970227298907073,11,11
1273720,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Papua New Guinea,84,runs,1495.9408596141545,1496.7977987717902,0.49876676791954155,24.059195139862005,11,11
1273721,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Oman,8,wickets,1502.9101563719355,1499.4629947144765,0.5049607016262542,23.761886321939798,10,11
1273723,2021-10-22,Sharjah Cricket Stadium,Sri Lanka,Netherlands,8,wickets,1504.2825291184452,1496.1648396618714,0.5116801688680744,23.439351894332425,9,11
1273722,2021-10-22,Sharjah Cricket Stadium,Namibia,Ireland,8,wickets,1499.8081482173704,1498.9216149807983,0.5012758211154432,23.938760586458727,9,11
