match_id,date,venue,winner,loser,margin,margin_type,winner_rating_before,winner_rating_after,winner_change,loser_rating_before,loser_rating_after,loser_change,winner_expected
1273721,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Oman,8,wickets,1534.7919466398566,1555.4518900539124,20.65994341405583,1486.1238340764469,1465.4638906623911,-20.65994341405583,0.5695845122071702
1273723,2021-10-22,Sharjah Cricket Stadium,Sri Lanka,Netherlands,8,wickets,1551.7528216752262,1568.4828167678625,16.729995092636326,1443.0999673444192,1426.3699722517829,-16.729995092636326,0.6514584355700765
1273722,2021-10-22,Sharjah Cricket Stadium,Namibia,Ireland,8,wickets,1499.747990379531,1522.133656817947,22.38566643841582,1476.3427773334586,1453.9571108950427,-22.38566643841582,0.5336319491996704
1273725,2021-10-23,Dubai International Cricket Stadium,England,West Indies,6,wickets,1508.0629103312658,1540.112693307444,32.0497829761783,1629.286308920163,1597.2365259439848,-32.0497829761783,0.33229618799628546
1273724,2021-10-23,"Zayed Cricket Stadium, Abu Dhabi",Australia,South Africa,5,wickets,1471.62930014172,1492.770333388287,21.141033246567005,1506.8738669592028,1485.7328337126357,-21.141033246567005,0.4494522592039843
1273726,2021-10-24,Sharjah Cricket Stadium,Sri Lanka,Bangladesh,5,wickets,1568.4828167678625,1580.958887205187,12.476070437324532,1441.4336108711698,1428.9575404338452,-12.476070437324532,0.6751023323613403
1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,India,10,wickets,1458.341247991563,1489.9230060667935,31.58175807523055,1571.9851086488936,1540.4033505736631,-31.58175807523055,0.34204670676603016
1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,New Zealand,5,wickets,1489.9230060667935,1511.970635541211,22.04762947441757,1541.835479066947,1519.7878495925295,-22.04762947441757,0.4258429824370424
1273729,2021-10-26,Dubai International Cricket Stadium,South Africa,West Indies,8,wickets,1485.7328337126357,1517.1812501448735,31.448416432237735,1597.2365259439848,1565.788109511747,-31.448416432237735,0.3448246576617139
1273731,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",England,Bangladesh,8,wickets,1540.112693307444,1556.6860409247797,16.573347617335752,1428.9575404338452,1412.3841928165095,-16.573347617335752,0.6547219246388385
1273732,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Namibia,Scotland,4,wickets,1522.133656817947,1543.169266908065,21.035610090118112,1555.4518900539124,1534.4162799637943,-21.035610090118112,0.4521976539031741
1273733,2021-10-28,Dubai International Cricket Stadium,Australia,Sri Lanka,7,wickets,1492.770333388287,1522.7346398897312,29.96430650144417,1580.958887205187,1550.994580703743,-29.96430650144417,0.3757436145532465
1273734,2021-10-29,Sharjah Cricket Stadium,West Indies,Bangladesh,3,runs,1565.788109511747,1575.1494938325827,9.361384320835771,1412.3841928165095,1403.0228084956739,-9.361384320835771,0.7074567399738821
