rank,player,rating,matches
238,SJ Baard,1492.5020782093245,8
239,Anamul Haque,1492.0385902823286,6
240,Mashrafe Mortaza,1491.9367088296146,10
241,Aqib Ilyas,1491.7932329987302,6
242,BJ McCarthy,1491.7602061847656,10
243,L Tucker,1491.7602061847656,10
244,Zeeshan Maqsood,1491.044131697242,8
245,Bilal Khan,1491.044131697242,8
246,PM Seelaar,1491.0288878365009,11
247,E Lewis,1490.9641894815184,8
248,D Wiese,1490.960404484952,15
249,Shoriful Islam,1490.7352956912787,5
250,Afif Hossain,1490.6811886477735,13
251,TP Ura,1490.5426998958926,5
252,CA Soper,1490.5400066264774,5
253,Liton Das,1490.5247564609417,19
254,MG Erasmus,1490.4855943352518,13
255,JJ Smit,1490.4855943352518,13
256,L Siaka,1490.452402062003,5
257,JN Loftie-Eaton,1490.3216853379017,7
258,MD Shanaka,1490.1189259622558,17
259,N Vanua,1490.08583605412,5
260,KV Morea,1490.0717615000083,5
261,M van Lingen,1490.0629645980707,9
262,R Trumpelmann,1490.0317478627178,11
263,Tamim Iqbal,1490.0268032815732,11
264,SA Edwards,1489.7148364581028,15
265,MP O'Dowd,1489.7148364581028,15
266,BFW de Leede,1489.7148364581028,15
267,Soumya Sarkar,1489.7057557613684,15
268,GJ Delany,1489.5852812813098,13
269,J Little,1489.5852812813098,13
270,A Balbirnie,1489.5852812813098,13
271,MR Adair,1489.5852812813098,13
272,C Campher,1489.5852812813098,13
273,LV van Beek,1489.34614425644,20
274,Mahedi Hasan,1489.2310176427975,10
275,GH Dockrell,1489.0956745586125,13
276,A Vala,1488.3555003377232,6
277,CJA Amini,1488.3555003377232,6
278,S Bau,1488.3555003377232,6
279,K Doriga,1488.3555003377232,6
280,Al-Amin Hossain,1488.28601560456,12
281,PR Stirling,1487.6469168065034,18
282,Mustafizur Rahman,1487.3997280730725,21
283,HT Tector,1485.2198964830702,11
284,Shakib Al Hasan,1483.0826021848757,29
285,Mushfiqur Rahim,1476.8563255117938,18
286,Mahmudullah,1476.699893324962,24
